   ,DAY,SELF_PASSWORD_CHANGE,HELPED_PASSWORD_CHANGE,SET_ANSWERS,FORGOT_PASSWORD_AUTHN_SUCCESS,FORGOT_PASSWORD_AUTHN_FAIL,FORGOT_PASSWORD_AUTHN_LOCKED,EXPIRATION_NOTICE_SENT,PASSWORD_EXPIRED,PASSWORD_UNLOCK,PASSWORD_UNLOCK_ENT_LDAP,PASSWORD_UNLOCK_AD
135,4/7/03,26,7,0,0,0,0,0,0,0,0,0
136,4/8/03,42,3,0,0,0,0,0,0,0,0,0
137,4/9/03,48,3,0,0,0,0,0,0,0,0,0
138,4/10/03,26,2,0,0,0,0,0,0,0,0,0
139,4/11/03,9,3,0,0,0,0,0,0,0,0,0
140,4/12/03,9,0,0,0,0,0,0,0,0,0,0
141,4/13/03,11,0,0,0,0,0,0,0,0,0,0
142,4/14/03,47,61,0,0,0,0,0,0,0,0,0
143,4/15/03,24,1,0,0,0,0,0,0,0,0,0
144,4/16/03,61,3,0,0,0,0,0,0,0,0,0
145,4/17/03,83,1,0,0,0,0,0,0,0,0,0
146,4/18/03,56,1,0,0,0,0,0,0,0,0,0
147,4/19/03,42,0,0,0,0,0,0,0,0,0,0
148,4/20/03,40,0,0,0,0,0,0,0,0,0,0
149,4/21/03,130,1,0,0,0,0,0,0,0,0,0
150,4/22/03,158,0,0,0,0,0,0,0,0,0,0
151,4/23/03,124,1,0,0,0,0,0,0,0,0,0
152,4/24/03,171,198,0,0,0,0,0,0,0,0,0
153,4/25/03,154,184,0,0,0,0,0,0,0,0,0
154,4/26/03,39,0,0,0,0,0,0,0,0,0,0
155,4/27/03,107,0,0,0,0,0,0,0,0,0,0
156,4/28/03,224,209,0,0,0,0,0,0,0,0,0
157,4/29/03,266,196,0,0,0,0,0,0,0,0,0
158,4/30/03,255,181,0,0,0,0,0,0,0,0,0
159,5/1/03,158,184,0,0,0,0,0,0,0,0,0
160,5/2/03,104,178,0,0,0,0,0,0,0,0,0
161,5/3/03,53,0,0,0,0,0,0,0,0,0,0
162,5/4/03,79,0,0,0,0,0,0,0,0,0,0
163,5/5/03,75,198,0,0,0,0,0,0,0,0,0
164,5/6/03,267,197,0,0,0,0,0,0,0,0,0
165,5/7/03,140,8,0,0,0,0,0,0,0,0,0
166,5/8/03,135,178,0,0,0,0,0,0,0,0,0
167,5/9/03,100,214,0,0,0,0,0,0,0,0,0
168,5/10/03,36,1,0,0,0,0,0,0,0,0,0
169,5/11/03,53,0,0,0,0,0,0,0,0,0,0
170,5/12/03,109,2,0,0,0,0,0,0,0,0,0
171,5/13/03,77,5,0,0,0,0,0,0,0,0,0
172,5/14/03,43,3,0,0,0,0,0,0,0,0,0
173,5/15/03,47,4,0,0,0,0,0,0,0,0,0
174,5/16/03,15,1,0,0,0,0,0,0,0,0,0
175,5/17/03,14,1,0,0,0,0,0,0,0,0,0
176,5/18/03,0,3,0,0,0,0,0,0,0,0,0
177,5/19/03,50,14,0,0,0,0,0,0,0,0,0
178,5/20/03,39,8,0,0,0,0,0,0,0,0,0
179,5/21/03,31,5,0,0,0,0,0,0,0,0,0
180,5/22/03,27,5,0,0,0,0,0,0,0,0,0
181,5/23/03,17,4,0,0,0,0,0,0,0,0,0
182,5/24/03,14,0,0,0,0,0,0,0,0,0,0
183,5/25/03,11,0,0,0,0,0,0,0,0,0,0
184,5/26/03,17,0,0,0,0,0,0,0,0,0,0
185,5/27/03,40,6,0,0,0,0,0,0,0,0,0
186,5/28/03,38,2,0,0,0,0,0,0,0,0,0
187,5/29/03,29,6,0,0,0,0,0,0,0,0,0
188,5/30/03,19,6,0,0,0,0,0,0,0,0,0
189,5/31/03,5,0,0,0,0,0,0,0,0,0,0
190,6/1/03,10,0,0,0,0,0,0,0,0,0,0
191,6/2/03,41,3,0,0,0,0,0,0,0,0,0
192,6/3/03,25,8,0,0,0,0,0,0,0,0,0
193,6/4/03,30,3,0,0,0,0,0,0,0,0,0
194,6/5/03,25,3,0,0,0,0,0,0,0,0,0
195,6/6/03,25,3,0,0,0,0,0,0,0,0,0
196,6/7/03,7,1,0,0,0,0,0,0,0,0,0
197,6/8/03,23,0,0,0,0,0,0,0,0,0,0
198,6/9/03,37,4,0,0,0,0,0,0,0,0,0
199,6/10/03,31,3,0,0,0,0,0,0,0,0,0
200,6/11/03,23,4,0,0,0,0,0,0,0,0,0
201,6/12/03,32,6,0,0,0,0,0,0,0,0,0
202,6/13/03,26,1,0,0,0,0,0,0,0,0,0
203,6/14/03,13,0,0,0,0,0,0,0,0,0,0
204,6/15/03,18,0,0,0,0,0,0,0,0,0,0
205,6/16/03,87,7,0,0,0,0,0,0,0,0,0
206,6/17/03,102,1,0,0,0,0,0,0,0,0,0
207,6/18/03,137,2,0,0,0,0,0,0,0,0,0
208,6/19/03,56,0,0,0,0,0,0,0,0,0,0
209,6/20/03,37,4,0,0,0,0,0,0,0,0,0
210,6/21/03,22,0,0,0,0,0,0,0,0,0,0
211,6/22/03,17,0,0,0,0,0,0,0,0,0,0
212,6/23/03,42,0,0,0,0,0,0,0,0,0,0
213,6/24/03,20,0,0,0,0,0,0,0,0,0,0
214,6/25/03,18,0,0,0,0,0,0,0,0,0,0
215,6/26/03,15,2,0,0,0,0,0,0,0,0,0
216,6/27/03,18,1,0,0,0,0,0,0,0,0,0
217,6/28/03,7,0,0,0,0,0,0,0,0,0,0
218,6/29/03,9,0,0,0,0,0,0,0,0,0,0
219,6/30/03,18,1,0,0,0,0,0,0,0,0,0
220,7/1/03,14,2,0,0,0,0,0,0,0,0,0
221,7/2/03,20,0,0,0,0,0,0,0,0,0,0
222,7/3/03,14,4,0,0,0,0,0,0,0,0,0
223,7/4/03,6,0,0,0,0,0,0,0,0,0,0
224,7/5/03,3,0,0,0,0,0,0,0,0,0,0
225,7/6/03,4,0,0,0,0,0,0,0,0,0,0
226,7/7/03,11,3,0,0,0,0,0,0,0,0,0
227,7/8/03,18,2,0,0,0,0,0,0,0,0,0
228,7/9/03,17,1,0,0,0,0,0,0,0,0,0
229,7/10/03,12,2,0,0,0,0,0,0,0,0,0
230,7/11/03,16,1,0,0,0,0,0,0,0,0,0
231,7/12/03,7,0,0,0,0,0,0,0,0,0,0
232,7/13/03,8,0,0,0,0,0,0,0,0,0,0
233,7/14/03,20,1,0,0,0,0,0,0,0,0,0
234,7/15/03,13,3,0,0,0,0,0,0,0,0,0
235,7/16/03,16,3,0,0,0,0,0,0,0,0,0
236,7/17/03,14,0,0,0,0,0,0,0,0,0,0
237,7/18/03,8,1,0,0,0,0,0,0,0,0,0
238,7/19/03,5,0,0,0,0,0,0,0,0,0,0
239,7/20/03,11,0,0,0,0,0,0,0,0,0,0
240,7/21/03,42,2,0,0,0,0,0,0,0,0,0
241,7/22/03,20,0,0,0,0,0,0,0,0,0,0
242,7/23/03,70,0,0,0,0,0,0,0,0,0,0
243,7/24/03,24,0,0,0,0,0,0,0,0,0,0
244,7/25/03,10,0,0,0,0,0,0,0,0,0,0
245,7/26/03,4,0,0,0,0,0,0,0,0,0,0
246,7/27/03,3,0,0,0,0,0,0,0,0,0,0
247,7/28/03,16,1,0,0,0,0,0,0,0,0,0
248,7/29/03,21,0,0,0,0,0,0,0,0,0,0
249,7/30/03,31,2,0,0,0,0,0,0,0,0,0
250,7/31/03,186,0,0,0,0,0,0,0,0,0,0
251,8/1/03,212,4,0,0,0,0,0,0,0,0,0
252,8/2/03,94,0,0,0,0,0,0,0,0,0,0
253,8/3/03,68,0,0,0,0,0,0,0,0,0,0
254,8/4/03,259,1,0,0,0,0,0,0,0,0,0
255,8/5/03,175,1,0,0,0,0,0,0,0,0,0
256,8/6/03,109,2,0,0,0,0,0,0,0,0,0
257,8/7/03,111,1,0,0,0,0,0,0,0,0,0
258,8/8/03,78,1,0,0,0,0,0,0,0,0,0
259,8/9/03,71,0,0,0,0,0,0,0,0,0,0
260,8/10/03,53,0,0,0,0,0,0,0,0,0,0
261,8/11/03,95,1,0,0,0,0,0,0,0,0,0
262,8/12/03,62,1,0,0,0,0,0,0,0,0,0
263,8/13/03,79,5,0,0,0,0,0,0,0,0,0
264,8/14/03,95,0,0,0,0,0,0,0,0,0,0
265,8/15/03,68,0,0,0,0,0,0,0,0,0,0
266,8/16/03,45,0,0,0,0,0,0,0,0,0,0
267,8/17/03,43,0,0,0,0,0,0,0,0,0,0
268,8/18/03,90,3,0,0,0,0,0,0,0,0,0
269,8/19/03,99,1,0,0,0,0,0,0,0,0,0
270,8/20/03,127,3,0,0,0,0,0,0,0,0,0
271,8/21/03,70,4,0,0,0,0,0,0,0,0,0
272,8/22/03,55,0,0,0,0,0,0,0,0,0,0
273,8/23/03,38,0,0,0,0,0,0,0,0,0,0
274,8/24/03,31,0,0,0,0,0,0,0,0,0,0
275,8/25/03,91,1,0,0,0,0,0,0,0,0,0
276,8/26/03,53,1,0,0,0,0,0,0,0,0,0
277,8/27/03,60,1,0,0,0,0,0,0,0,0,0
278,8/28/03,51,1,0,0,0,0,0,0,0,0,0
279,8/29/03,40,1,0,0,0,0,0,0,0,0,0
280,8/30/03,32,0,0,0,0,0,0,0,0,0,0
281,8/31/03,34,0,0,0,0,0,0,0,0,0,0
282,9/1/03,41,0,0,0,0,0,0,0,0,0,0
283,9/2/03,91,4,0,0,0,0,0,0,0,0,0
284,9/3/03,59,1,0,0,0,0,0,0,0,0,0
285,9/4/03,42,2,0,0,0,0,0,0,0,0,0
286,9/5/03,67,1,0,0,0,0,0,0,0,0,0
287,9/6/03,29,0,0,0,0,0,0,0,0,0,0
288,9/7/03,32,0,0,0,0,0,0,0,0,0,0
289,9/8/03,50,4,0,0,0,0,0,0,0,0,0
290,9/9/03,59,4,0,0,0,0,0,0,0,0,0
291,9/10/03,62,2,0,0,0,0,0,0,0,0,0
292,9/11/03,52,2,0,0,0,0,0,0,0,0,0
293,9/12/03,59,1,0,0,0,0,0,0,0,0,0
294,9/13/03,240,0,0,0,0,0,0,0,0,0,0
295,9/14/03,450,2,0,0,0,0,0,0,0,0,0
296,9/15/03,129,3,0,0,0,0,0,0,0,0,0
297,9/16/03,102,1,0,0,0,0,0,0,0,0,0
298,9/17/03,160,4,0,0,0,0,0,0,0,0,0
299,9/18/03,98,11,0,0,0,0,0,0,0,0,0
300,9/19/03,73,7,0,0,0,0,0,0,0,0,0
301,9/20/03,106,0,0,0,0,0,0,0,0,0,0
302,9/21/03,179,0,0,0,0,0,0,0,0,0,0
303,9/22/03,328,9,0,0,0,0,0,0,0,0,0
304,9/23/03,333,3,0,0,0,0,0,0,0,0,0
305,9/24/03,203,3,0,0,0,0,0,0,0,0,0
306,9/25/03,121,9,0,0,0,0,0,0,0,0,0
307,9/26/03,72,1,0,0,0,0,0,0,0,0,0
308,9/27/03,34,0,0,0,0,0,0,0,0,0,0
309,9/28/03,83,0,0,0,0,0,0,0,0,0,0
310,9/29/03,118,3,0,0,0,0,0,0,0,0,0
311,9/30/03,108,2,0,0,0,0,0,0,0,0,0
312,10/1/03,92,2,0,0,0,0,0,0,0,0,0
313,10/2/03,65,5,0,0,0,0,0,0,0,0,0
314,10/3/03,20,0,0,0,0,0,0,0,0,0,0
315,10/4/03,24,0,0,0,0,0,0,0,0,0,0
316,10/5/03,27,1,0,0,0,0,0,0,0,0,0
317,10/6/03,56,2,0,0,0,0,0,0,0,0,0
318,10/7/03,55,4,0,0,0,0,0,0,0,0,0
319,10/8/03,42,0,0,0,0,0,0,0,0,0,0
320,10/9/03,26,2,0,0,0,0,0,0,0,0,0
321,10/10/03,20,2,0,0,0,0,0,0,0,0,0
322,10/11/03,11,0,0,0,0,0,0,0,0,0,0
323,10/12/03,18,0,0,0,0,0,0,0,0,0,0
324,10/13/03,35,0,0,0,0,0,0,0,0,0,0
325,10/14/03,45,2,0,0,0,0,0,0,0,0,0
326,10/15/03,30,2,0,0,0,0,0,0,0,0,0
327,10/16/03,37,1,0,0,0,0,0,0,0,0,0
328,10/17/03,17,1,0,0,0,0,0,0,0,0,0
329,10/18/03,4,0,0,0,0,0,0,0,0,0,0
330,10/19/03,17,0,0,0,0,0,0,0,0,0,0
331,10/20/03,22,1,0,0,0,0,0,0,0,0,0
332,10/21/03,24,4,0,0,0,0,0,0,0,0,0
333,10/22/03,31,0,0,0,0,0,0,0,0,0,0
334,10/23/03,37,6,0,0,0,0,0,0,0,0,0
335,10/24/03,18,0,0,0,0,0,0,0,0,0,0
336,10/25/03,9,0,0,0,0,0,0,0,0,0,0
337,10/26/03,9,0,0,0,0,0,0,0,0,0,0
338,10/27/03,34,2,0,0,0,0,0,0,0,0,0
339,10/28/03,28,1,0,0,0,0,0,0,0,0,0
340,10/29/03,19,2,0,0,0,0,0,0,0,0,0
341,10/30/03,23,1,0,0,0,0,0,0,0,0,0
342,10/31/03,12,1,0,0,0,0,0,0,0,0,0
343,11/1/03,6,0,0,0,0,0,0,0,0,0,0
344,11/2/03,11,1,0,0,0,0,0,0,0,0,0
345,11/3/03,25,2,0,0,0,0,0,0,0,0,0
346,11/4/03,31,1,0,0,0,0,0,0,0,0,0
347,11/5/03,22,2,0,0,0,0,0,0,0,0,0
348,11/6/03,15,3,0,0,0,0,0,0,0,0,0
349,11/7/03,13,1,0,0,0,0,0,0,0,0,0
350,11/8/03,5,0,0,0,0,0,0,0,0,0,0
351,11/9/03,16,0,0,0,0,0,0,0,0,0,0
352,11/10/03,14,1,0,0,0,0,0,0,0,0,0
353,11/11/03,12,0,0,0,0,0,0,0,0,0,0
354,11/12/03,27,1,0,0,0,0,0,0,0,0,0
355,11/13/03,25,1,0,0,0,0,0,0,0,0,0
356,11/14/03,14,1,0,0,0,0,0,0,0,0,0
357,11/15/03,0,0,0,0,0,0,0,0,0,0,0
358,11/16/03,7,0,0,0,0,0,0,0,0,0,0
359,11/17/03,13,4,0,0,0,0,0,0,0,0,0
360,11/18/03,21,2,0,0,0,0,0,0,0,0,0
361,11/19/03,17,2,0,0,0,0,0,0,0,0,0
362,11/20/03,22,2,0,0,0,0,0,0,0,0,0
363,11/21/03,7,1,0,0,0,0,0,0,0,0,0
364,11/22/03,3,0,0,0,0,0,0,0,0,0,0
365,11/23/03,12,0,0,0,0,0,0,0,0,0,0
366,11/24/03,19,0,0,0,0,0,0,0,0,0,0
367,11/25/03,7,2,0,0,0,0,0,0,0,0,0
368,11/26/03,12,1,0,0,0,0,0,0,0,0,0
369,11/27/03,6,0,0,0,0,0,0,0,0,0,0
370,11/28/03,1,0,0,0,0,0,0,0,0,0,0
371,11/29/03,8,0,0,0,0,0,0,0,0,0,0
372,11/30/03,9,0,0,0,0,0,0,0,0,0,0
373,12/1/03,23,2,0,0,0,0,0,0,0,0,0
374,12/2/03,13,2,0,0,0,0,0,0,0,0,0
375,12/3/03,17,1,0,0,0,0,0,0,0,0,0
376,12/4/03,13,3,0,0,0,0,0,0,0,0,0
377,12/5/03,15,3,0,0,0,0,0,0,0,0,0
378,12/6/03,6,0,0,0,0,0,0,0,0,0,0
379,12/7/03,8,1,0,0,0,0,0,0,0,0,0
380,12/8/03,9,2,0,0,0,0,0,0,0,0,0
381,12/9/03,15,2,0,0,0,0,0,0,0,0,0
382,12/10/03,15,1,0,0,0,0,0,0,0,0,0
383,12/11/03,18,1,0,0,0,0,0,0,0,0,0
384,12/12/03,28,0,0,0,0,0,0,0,0,0,0
385,12/13/03,17,1,0,0,0,0,0,0,0,0,0
386,12/14/03,5,0,0,0,0,0,0,0,0,0,0
387,12/15/03,0,0,0,0,0,0,0,0,0,0,0
388,12/16/03,81,3,0,0,0,0,0,0,0,0,0
389,12/17/03,140,2,0,0,0,0,0,0,0,0,0
390,12/18/03,51,2,0,0,0,0,0,0,0,0,0
391,12/19/03,38,1,0,0,0,0,0,0,0,0,0
392,12/20/03,4,0,0,0,0,0,0,0,0,0,0
393,12/21/03,12,0,0,0,0,0,0,0,0,0,0
394,12/22/03,14,1,0,0,0,0,0,0,0,0,0
395,12/23/03,19,4,0,0,0,0,0,0,0,0,0
396,12/24/03,9,0,0,0,0,0,0,0,0,0,0
397,12/25/03,10,0,0,0,0,0,0,0,0,0,0
398,12/26/03,4,0,0,0,0,0,0,0,0,0,0
399,12/27/03,5,0,0,0,0,0,0,0,0,0,0
400,12/28/03,9,0,0,0,0,0,0,0,0,0,0
401,12/29/03,12,2,0,0,0,0,0,0,0,0,0
402,12/30/03,16,2,0,0,0,0,0,0,0,0,0
403,12/31/03,7,1,0,0,0,0,0,0,0,0,0
404,1/1/04,7,0,0,0,0,0,0,0,0,0,0
405,1/2/04,19,3,0,0,0,0,0,0,0,0,0
406,1/3/04,9,0,0,0,0,0,0,0,0,0,0
407,1/4/04,45,0,0,0,0,0,0,0,0,0,0
408,1/5/04,97,5,0,0,0,0,0,0,0,0,0
409,1/6/04,71,1,0,0,0,0,0,0,0,0,0
410,1/7/04,64,8,0,0,0,0,0,0,0,0,0
411,1/8/04,63,4,0,0,0,0,0,0,0,0,0
412,1/9/04,30,2,0,0,0,0,0,0,0,0,0
413,1/10/04,10,0,0,0,0,0,0,0,0,0,0
414,1/11/04,18,0,0,0,0,0,0,0,0,0,0
415,1/12/04,56,2,0,0,0,0,0,0,0,0,0
416,1/13/04,36,4,0,0,0,0,0,0,0,0,0
417,1/14/04,48,2,0,0,0,0,0,0,0,0,0
418,1/15/04,25,2,0,0,0,0,0,0,0,0,0
419,1/16/04,14,1,0,0,0,0,0,0,0,0,0
420,1/17/04,1,0,0,0,0,0,0,0,0,0,0
421,1/18/04,9,0,0,0,0,0,0,0,0,0,0
422,1/19/04,10,0,0,0,0,0,0,0,0,0,0
423,1/20/04,21,0,0,0,0,0,0,0,0,0,0
424,1/21/04,23,3,0,0,0,0,0,0,0,0,0
425,1/22/04,16,1,0,0,0,0,0,0,0,0,0
426,1/23/04,11,2,0,0,0,0,0,0,0,0,0
427,1/24/04,10,0,0,0,0,0,0,0,0,0,0
428,1/25/04,17,0,0,0,0,0,0,0,0,0,0
429,1/26/04,22,4,0,0,0,0,0,0,0,0,0
430,1/27/04,25,1,0,0,0,0,0,0,0,0,0
431,1/28/04,20,3,0,0,0,0,0,0,0,0,0
432,1/29/04,19,2,0,0,0,0,0,0,0,0,0
433,1/30/04,7,4,0,0,0,0,0,0,0,0,0
434,1/31/04,9,0,0,0,0,0,0,0,0,0,0
435,2/1/04,6,0,0,0,0,0,0,0,0,0,0
436,2/2/04,23,5,0,0,0,0,0,0,0,0,0
437,2/3/04,18,4,0,0,0,0,0,0,0,0,0
438,2/4/04,17,4,0,0,0,0,0,0,0,0,0
439,2/5/04,12,2,0,0,0,0,0,0,0,0,0
440,2/6/04,17,5,0,0,0,0,0,0,0,0,0
441,2/7/04,3,1,0,0,0,0,0,0,0,0,0
442,2/8/04,30,0,0,0,0,0,0,0,0,0,0
443,2/9/04,25,1,0,0,0,0,0,0,0,0,0
444,2/10/04,16,2,0,0,0,0,0,0,0,0,0
445,2/11/04,18,0,0,0,0,0,0,0,0,0,0
446,2/12/04,17,1,0,0,0,0,0,0,0,0,0
447,2/13/04,6,0,0,0,0,0,0,0,0,0,0
448,2/14/04,2,0,0,0,0,0,0,0,0,0,0
449,2/15/04,3,0,0,0,0,0,0,0,0,0,0
450,2/16/04,12,0,0,0,0,0,0,0,0,0,0
451,2/17/04,15,3,0,0,0,0,0,0,0,0,0
452,2/18/04,22,3,0,0,0,0,0,0,0,0,0
453,2/19/04,14,4,0,0,0,0,0,0,0,0,0
454,2/20/04,10,3,0,0,0,0,0,0,0,0,0
455,2/21/04,6,0,0,0,0,0,0,0,0,0,0
456,2/22/04,1,0,0,0,0,0,0,0,0,0,0
